company,address,industry,website,phone,contact_person,position,email,url
Camera Trường Tiến - Công Ty TNHH Thương Mại Dịch Vụ Tin Học Và Viễn Thông Trường Tiến,"5A/2 Trần Phú, P. 4, Q. 5,","['Camera Itech', 'An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Camera IP', 'Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ', 'Camera VanTr', 'Camera VIVOTEK', 'Camera HD']","['www.vivotek.vn', 'www.ion.vn']","['02838337327', '0909097928']",Ms. Phan Hồng Nhung,,hongnhung@ion.vn,https://www.yellowpages.vn/lgs/969273/camera-truong-tien-cong-ty-tnhh-thuong-mai-dich-vu-tin-hoc-va-vien-thong-truong-tien.html
Nhà Thông Minh Sky Minh Dương - Công Ty TNHH Dịch Vụ Và Thương Mại Sky Minh Dương,"Số 3 Ngõ 5A, Thôn Lại Dụ, Xã An Thượng, Huyện Hoài Đức,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ', 'Nhà Thông Minh - Hệ Thống Và Thiết Bị']",['www.nhathongminhsmd.com.vn'],"['0975773579', '0386963579']",Mr. Đỗ Công Hà,Trưởng Phòng,skyminhduong@gmail.com,https://www.yellowpages.vn/lgs/1187863401/nha-thong-minh-sky-minh-duong-cong-ty-tnhh-dich-vu-va-thuong-mai-sky-minh-duong.html
Camera Kiến Hưng - Công Ty TNHH TM & DV Công Nghệ Kiến Hưng,"VP Miền Bắc: Số 31, Ngõ 44, P. Mai Dịch, Q. Cầu Giấy,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Đèn Năng Lượng Mặt Trời', 'Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị', 'Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị', 'Chuông Cửa Có Hình']","['www.kingwo.vn', 'www.camerakynguyen.com']","['0971768865', '0868796078']",Mr. Hà Tiến Trọng,Quản lý,hatientrong886@gmail.com,https://www.yellowpages.vn/lgs/1187831451/camera-kien-hung-cong-ty-tnhh-tm---dv-cong-nghe-kien-hung.html
Nhà Thông Minh TAANCO - Công Ty TNHH Đầu Tư Phát Triển Công Nghệ Tâm An,"141/58 Đường Số 28, P. 6, Q. Gò Vấp,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Cửa, Cổng Tự Động', 'Nhà Thông Minh - Hệ Thống Và Thiết Bị', 'Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị']","['www.taanco.com', 'www.tudongthongminh.com']",['0938958246'],Mr. Nguyễn Đặng Trường,,info@taanco.com,https://www.yellowpages.vn/lgs/1187782845/nha-thong-minh-taanco-cong-ty-tnhh-dau-tu-phat-trien-cong-nghe-tam-an.html
Camera Thái Bình Dương - Công Ty Công Nghệ Và Môi Trường Thái Bình Dương,"189B Đường TX25, P. Thạnh Xuân, Q. 12,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera']",['www.cameraquansat.bizz.vn'],"['0978165669', '9078165699']",Ông Lê Xuân Đua,,hungphat110476@gmail.com,https://www.yellowpages.vn/lgs/1187885637/camera-thai-binh-duong-cong-ty-cong-nghe-va-moi-truong-thai-binh-duong.html
Camera Việt Mỹ - Công Ty TNHH Dịch Vụ Giám Sát An Ninh Việt Mỹ,"131 Khuông Việt, Phường Phú Trung, Quận Tân Phú,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Tổng Đài Điện Thoại - Cung Cấp Và Lắp Đặt', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera']",['www.cameravietmy.com'],"['0939118895', '0987889924']",Mr. Toàn,Giám Đốc,ctycameravietmy@gmail.com,https://www.yellowpages.vn/lgs/1187903700/camera-viet-my-cong-ty-tnhh-dich-vu-giam-sat-an-ninh-viet-my.html
Thiết Bị An Ninh An Toàn VITECK- Công Ty TNHH Giải Pháp Công Nghệ VITECK,"180 Trần Quốc Toản, KP. 4, P. Bình Đa, TP. Biên Hòa,","['Tổng Đài Điện Thoại - Cung Cấp Và Lắp Đặt', 'Máy Chấm Công', 'An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị', 'Cổng Từ An Ninh', 'Máy Định Vị GPS, Thiết Bị Định Vị GPS', 'Chuông Cửa Có Hình']",['www.viteck.vn'],"['0966788876', '02512677788']",Hotline,,info@viteck.vn,https://www.yellowpages.vn/lgs/1187900142/thiet-bi-an-ninh-an-toan-viteck--cong-ty-tnhh-giai-phap-cong-nghe-viteck.html
Thiết Bị PCCC Thành Vinh Nghệ An - Công Ty CP Thiết Bị PCCC Thành Vinh Nghệ An,"Nhà Số 4, Ngõ 146 Đường Cao Xuân Huy, P. Hồng Sơn, TP. Vinh,","['Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)', 'An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)', 'Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy', 'Hệ Thống Báo Cháy, Hệ Thống Chữa Cháy Tự Động', 'Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)', 'Bình Chữa Cháy (CO2, Bột, Foam)', 'Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động']",['www.pcccthanhvinh.com'],"['02383843679', '0911326789', '0987106789']",Mr. Mai Hùng Cường,,hungcuongpcccthanhvinh@gmail.com,https://www.yellowpages.vn/lgs/1187676786/thiet-bi-pccc-thanh-vinh-nghe-an-cong-ty-cp-thiet-bi-pccc-thanh-vinh-nghe-an.html
Đầu Ghi Hình Thuận Nhân - Công Ty TNHH MTV Máy Tính Thuận Nhân,"173 Khu 2, ấp Chợ, Xã Phước Lợi, Huyện Bến Lức,","['Cho Thuê Máy Photocopy - Dịch Vụ Cho Thuê Máy Photocopy', 'Mực Máy In (Canon, HP, Epson,..) - Kinh Doanh Và Phân Phối', 'Máy Chấm Công', 'An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Máy In Văn Phòng - Thay Mực, Sửa Chữa, Bảo Trì', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Camera IP', 'Máy Vi Tính, Laptop - Nhà Cung Cấp', 'Camera Dahua', 'Đầu Ghi Hình Camera', 'Camera HD', 'Máy Văn Phòng']",['www.maytinhthuannhan.com'],"['02723644343', '0979442296', '0906687770']",Hotline,,vitinhthuannhan@gmail.com,https://www.yellowpages.vn/lgs/1187744490/dau-ghi-hinh-thuan-nhan-cong-ty-tnhh-mtv-may-tinh-thuan-nhan.html
Công Ty TNHH Thương Mại Dịch Vụ I.P.C.A,"Số 19 Phạm Thận Duật, Phường Mai Dịch, Quận Cầu Giấy,","['Máy Chấm Công', 'An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị', 'Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy', 'Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ', 'Đầu Ghi Hình Camera', 'Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị']","['www.anninh.com.vn', 'www.anninh.vn']",['0914348397'],Hotline,,tuanthanh@anninh.com.vn,https://www.yellowpages.vn/lgs/1187727843/cong-ty-tnhh-thuong-mai-dich-vu-i.p.c.a.html
Công Ty TNHH Đầu Tư Thương Mại & Kĩ Thuật Tân Bình Minh,"Số 5/85 Ngõ 62 Ngọc Hà, P. Đội Cấn, Q. Ba Đình, Hà Nội","['Ngân Hàng - Trang Thiết Bị', 'An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Camera IP', 'Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị', 'Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy', 'Nhà Thông Minh - Hệ Thống Và Thiết Bị', 'Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị', 'Chuông Cửa Có Hình']",['www.cameraonline.vn'],"['02435623091', '0917878999']",Ms. Trà,,ctytanbinhminh@gmail.com,https://www.yellowpages.vn/lgs/727233/cong-ty-tnhh-dau-tu-thuong-mai---ki-thuat-tan-binh-minh.html
Công Ty CP TM DV XNK Lê Sơn,"70 Lê Lư, P. Phú Thọ Hòa, Q. Tân Phú,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị', 'Cổng Từ An Ninh', 'Nhà Thông Minh - Hệ Thống Và Thiết Bị']",['www.vienthongleson.com'],"['02838613336', '0938759839']",Mr. Hiếu,,hieu@vienthongleson.com,https://www.yellowpages.vn/lgs/1187819814/cong-ty-cp-tm-dv-xnk-le-son.html
Công Ty CP DV Bảo Vệ ALSOK Việt Nam,"KM 92, QL. 5, P. Hùng Vương, Q. Hồng Bàng,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Bảo Vệ - Công Ty Bảo Vệ, Dịch Vụ Bảo Vệ (chuyên nghiệp, uy tín)', 'Thiết Bị Y Tế - Sản Xuất, Kinh Doanh và Phân Phối']",['www.alsok.com.vn'],"['02253798966', '0904698575']",Hotline,,kitamura@alsok.com.vn,https://www.yellowpages.vn/lgs/1390941/cong-ty-cp-dv-bao-ve-alsok-viet-nam.html
Công Ty TNHH Công Nghệ Và Thông Tin Thông Minh Việt Nam,"Số 12, Lô 13B, Trung Yên, Quận Cầu Giấy,","['Cổng Dò Kim Loại', 'An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Đo Lường, Đo Đạc - Thiết bị Đo Lường, Đo Đạc', 'Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị', 'Thiết Bị Văn Phòng']","['www.vietnamsmart.vn', 'www.vietnamsmart.com.vn']","['02437824073', '0936611372', '0966523518']",Mr. Bùi Đức Hạnh,Nhân Viên,buiduchanh99tb@gmail.com,https://www.yellowpages.vn/lgs/1187859249/cong-ty-tnhh-cong-nghe-va-thong-tin-thong-minh-viet-nam.html
Công Ty TNHH Hai Hai Tám,"1073/28 Đường Cách Mạng Tháng Tám, P.7, Q.Tân Bình,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn']",['www.228.vn'],"['02839771858', '0818228228']",Mr. Nguyễn Trường Yên,Giám Đốc,info@228.vn,https://www.yellowpages.vn/lgs/1187675787/cong-ty-tnhh-hai-hai-tam.html
Công Ty Cổ Phần Nhà An Toàn,"Số 88 - 90 Yên Lãng, P. Thịnh Quang, Q. Đống Đa,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị', 'Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy', 'Nhà Thông Minh - Hệ Thống Và Thiết Bị', 'Chuông Cửa Có Hình']",['www.nhaantoan.com'],"['0903233534', '02437623200']",Mr. Nguyễn Xuân Sơn,Giám Đốc,info@nhaantoan.com,https://www.yellowpages.vn/lgs/1309158/cong-ty-co-phan-nha-an-toan.html
Công Ty Cổ Phần Truyền Thông Sài Gòn New,"40/14 Tân Thành, P. Tân Thành, Q. Tân Phú,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Thiết Bị Văn Phòng']","['www.phuongdung.com', 'www.camerasaigon.com.vn']","['02822472443', '0902425475']",Ms. Dung,Kinh doanh,info@phuongdung.com,https://www.yellowpages.vn/lgs/1228212/cong-ty-co-phan-truyen-thong-sai-gon-new.html
Công Ty Cổ Phần Idworld,"21 Nguyễn Cao, P. Đống Mác, Q. Hai Bà Trưng,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn']",['www.idworld.com.vn'],"['02432203666', '0936689967']",Ms. Hoa,,idworld.com.vn@gmail.com,https://www.yellowpages.vn/lgs/1187866350/cong-ty-co-phan-idworld.html
Bảo Vệ Việt Đức - Công Ty CP Dịch Vụ Bảo Vệ Việt Đức,"306 Ngô Quyền, P. Tân Bình,","['Bảo Vệ Yếu Nhân (Ca Sĩ, Ngôi Sao, Người Nổi Tiếng,.)', 'Dịch Vụ Bảo Vệ Đặc Biệt (Tuần Tra, Khẩn Cấp,.)', 'An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Bảo Vệ Sự Kiện (Lễ Hội, Họp Báo, Triển Lãm,.)', 'Bảo Vệ và áp Tải Hàng Hóa, Tiền Bạc, Kim Loại Quý,.', 'Dịch Vụ Bảo Vệ Mục Tiêu Cố Định (Công ty, Trường Học, bệnh viện..)', 'Bảo Vệ - Công Ty Bảo Vệ, Dịch Vụ Bảo Vệ (chuyên nghiệp, uy tín)']",['www.baovevietduc.com.vn'],"['0972167167', '02203833535']",Ông Nguyễn Công Duẩn,Giám Đốc,baovevietduc.tgd@gmail.com,https://www.yellowpages.vn/lgs/1187784849/bao-ve-viet-duc-cong-ty-cp-dich-vu-bao-ve-viet-duc.html
Thiết Bị Nhà Thông Minh Ora - Công Ty CP Thương Mại - Sản Xuất Anh Em Nguyễn,"166A Trần Nhân Tôn, P. 2, Q. 10,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Thiết Bị Điện Thông Minh', 'Nhà Thông Minh - Hệ Thống Và Thiết Bị']",['www.ora.vn'],"['0982345600', '02862575766']",Mr. Nguyễn Quan Đức,Giám Đốc,nguyenqd@gmail.com,https://www.yellowpages.vn/lgs/1187884503/thiet-bi-nha-thong-minh-ora-cong-ty-cp-thuong-mai-san-xuat-anh-em-nguyen.html
Công Ty CP Phát Triển Công Nghệ TECHPRO,"Tầng 19, Tòa Nhà VTC Online, Số 18 Tam Trinh, P. Minh Khai, Q. Hai Bà Trưng,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Bãi Đỗ Xe - Hệ Thống và Thiết Bị Quản Lý', 'Bãi Giữ Xe Thông Minh', 'Tự Động Hóa - Hệ Thống và Thiết Bị Tự Động Hóa', 'Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị']","['www.techpro.vn', 'www.kiemsoatanninh.vn']","['0904926020', '0989358965']",Ms. Lê Quỳnh,Kinh Doanh,info@techpro.com.vn,https://www.yellowpages.vn/lgs/1310331/cong-ty-cp-phat-trien-cong-nghe-techpro.html
Công Ty Cổ Phần Thiết Bị Kỹ Thuật Tiên Phong,"P. 511 Tòa Nhà HH2 Bắc Hà, Tố Hữu, P. Nhân Chính, Q. Thanh Xuân,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Hikvision', 'Camera IP', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Hội Nghị Truyền Hình, Hội Nghị Trực Tuyến - Cung Cấp Thiết Bị Hội Nghị Truyền Hình', 'Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị']",['www.thietbianninh.com.vn'],"['02432668819', '0989090116']",Mr. Minh,Giám Đốc,info@thietbianninh.com.vn,https://www.yellowpages.vn/lgs/1187715279/cong-ty-co-phan-thiet-bi-ky-thuat-tien-phong.html
Công Ty CP Kỹ Thuật Tân Phát Long,"Số 23, Đường Ngô Quyền, KP 2, P. Hiệp Phú, Q. 9,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Thiết Bị Điện - Sản Xuất và Cung Cấp Thiết Bị Điện', 'Nhà Thầu Cơ Điện, Cơ Điện Công Trình']",['www.tanphatlong.com.vn'],['02862813454'],Hotline,,contact@tanphatlong.com.vn,https://www.yellowpages.vn/lgs/1187745588/cong-ty-cp-ky-thuat-tan-phat-long.html
Công Ty Cổ Phần ứng Dụng Công Nghệ Kỹ Thuật Số,"Số 29 Nguyên Khuê, H. Đông Anh,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị', 'Chuông Cửa Có Hình']",['www.cctvcamera.com.vn'],"['02439951928', '02439682333']",Hotline,,cctvdragon@gmail.com,https://www.yellowpages.vn/lgs/1187704776/cong-ty-co-phan-ung-dung-cong-nghe-ky-thuat-so.html
Công Ty TNHH Gia Thuận Việt,"100 Nguyễn Văn Săng, P. Tân Sơn Nhất, Q. Tân Phú,","['Tổng Đài Điện Thoại - Cung Cấp Và Lắp Đặt', 'An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Thiết Bị Âm Thanh, Hệ Thống Âm Thanh', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Viễn Thông - Thiết Bị và Hệ Thống Viễn Thông']",['www.giathuanviet.com'],"['02822471775', '0919443367']",Ms. Trang,,giathuanviet@gmail.com,https://www.yellowpages.vn/lgs/119352135/cong-ty-tnhh-gia-thuan-viet.html
Công Ty XNK Thiết Bị Công Nghệ HTC,"Số 21 Lê Văn Lương, Q. Thanh Xuân,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Tổng Đài Điện Thoại - Cung Cấp Và Lắp Đặt', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị']",['www.htcvietnam.vn'],['02436648338'],Hotline,,info@htcvietnam.com,https://www.yellowpages.vn/lgs/1298475/cong-ty-xnk-thiet-bi-cong-nghe-htc.html
